SNo,Date,Open
2991,2021-07-06 23:59:59,33723.50966
2992,2021-07-07 23:59:59,0
2993,2021-07-08 23:59:59,0
2994,2021-07-09 23:59:59,0
2995,2021-07-10 23:59:59,0
2996,2021-07-11 23:59:59,0
2997,2021-07-12 23:59:59,0
2998,2021-07-13 23:59:59,0
2999,2021-07-14 23:59:59,0
3000,2021-07-15 23:59:59,0
3001,2021-07-16 23:59:59,0
3002,2021-07-17 23:59:59,0
3003,2021-07-18 23:59:59,0
3004,2021-07-19 23:59:59,0
3005,2021-07-20 23:59:59,0
3006,2021-07-21 23:59:59,0
3007,2021-07-22 23:59:59,0
3008,2021-07-23 23:59:59,0
3009,2021-07-24 23:59:59,0
3010,2021-07-25 23:59:59,0
3011,2021-07-26 23:59:59,0
3012,2021-07-27 23:59:59,0
3013,2021-07-28 23:59:59,0
3014,2021-07-29 23:59:59,0
3015,2021-07-30 23:59:59,0
3016,2021-07-31 23:59:59,0
3017,2021-08-01 23:59:59,0
3018,2021-08-02 23:59:59,0
3019,2021-08-03 23:59:59,0
3020,2021-08-04 23:59:59,0
3021,2021-08-05 23:59:59,0
3022,2021-08-06 23:59:59,0
3023,2021-08-07 23:59:59,0
3024,2021-08-08 23:59:59,0
3025,2021-08-09 23:59:59,0
3026,2021-08-10 23:59:59,0
3027,2021-08-11 23:59:59,0
3028,2021-08-12 23:59:59,0
3029,2021-08-13 23:59:59,0
3030,2021-08-14 23:59:59,0
3031,2021-08-15 23:59:59,0
3032,2021-08-16 23:59:59,0
3033,2021-08-17 23:59:59,0
3034,2021-08-18 23:59:59,0
3035,2021-08-19 23:59:59,0
3036,2021-08-20 23:59:59,0
3037,2021-08-21 23:59:59,0
3038,2021-08-22 23:59:59,0
3039,2021-08-23 23:59:59,0
3040,2021-08-24 23:59:59,0
3041,2021-08-25 23:59:59,0
3042,2021-08-26 23:59:59,0
3043,2021-08-27 23:59:59,0
3044,2021-08-28 23:59:59,0
3045,2021-08-29 23:59:59,0
3046,2021-08-30 23:59:59,0
3047,2021-08-31 23:59:59,0
3048,2021-09-01 23:59:59,0
3049,2021-09-02 23:59:59,0
3050,2021-09-03 23:59:59,0
3051,2021-09-04 23:59:59,0
3052,2021-09-05 23:59:59,0
3053,2021-09-06 23:59:59,0
3054,2021-09-07 23:59:59,0
3055,2021-09-08 23:59:59,0
3056,2021-09-09 23:59:59,0
3057,2021-09-10 23:59:59,0
3058,2021-09-11 23:59:59,0
3059,2021-09-12 23:59:59,0
3060,2021-09-13 23:59:59,0
3061,2021-09-14 23:59:59,0
3062,2021-09-15 23:59:59,0
3063,2021-09-16 23:59:59,0
3064,2021-09-17 23:59:59,0
3065,2021-09-18 23:59:59,0
3066,2021-09-19 23:59:59,0
3067,2021-09-20 23:59:59,0
3068,2021-09-21 23:59:59,0
3069,2021-09-22 23:59:59,0
3070,2021-09-23 23:59:59,0
3071,2021-09-24 23:59:59,0
3072,2021-09-25 23:59:59,0
3073,2021-09-26 23:59:59,0
3074,2021-09-27 23:59:59,0
3075,2021-09-28 23:59:59,0
3076,2021-09-29 23:59:59,0
3077,2021-09-30 23:59:59,0
3078,2021-10-01 23:59:59,0
3079,2021-10-02 23:59:59,0
3080,2021-10-03 23:59:59,0
3081,2021-10-04 23:59:59,0
3082,2021-10-05 23:59:59,0
3083,2021-10-06 23:59:59,0
3084,2021-10-07 23:59:59,0
3085,2021-10-08 23:59:59,0
3086,2021-10-09 23:59:59,0
3087,2021-10-10 23:59:59,0
3088,2021-10-11 23:59:59,0
3089,2021-10-12 23:59:59,0
3090,2021-10-13 23:59:59,0
3091,2021-10-14 23:59:59,0
3092,2021-10-15 23:59:59,0
3093,2021-10-16 23:59:59,0
3094,2021-10-17 23:59:59,0
3095,2021-10-18 23:59:59,0
3096,2021-10-19 23:59:59,0
3097,2021-10-20 23:59:59,0
3098,2021-10-21 23:59:59,0
3099,2021-10-22 23:59:59,0
3100,2021-10-23 23:59:59,0
3101,2021-10-24 23:59:59,0
3102,2021-10-25 23:59:59,0
3103,2021-10-26 23:59:59,0
3104,2021-10-27 23:59:59,0
3105,2021-10-28 23:59:59,0
3106,2021-10-29 23:59:59,0
3107,2021-10-30 23:59:59,0
3108,2021-10-31 23:59:59,0
3109,2021-11-01 23:59:59,0
3110,2021-11-02 23:59:59,0
